127.0.0.1 - - [12/Jun/2020:11:30:05 -0300] "GET /pickup-manager HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/highlight_9.12.0/styles/atelier-cave-light.css HTTP/1.1" 200 1299
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css HTTP/1.1" 200 4657
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/css/spinner.css HTTP/1.1" 200 1464
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/goldenlayout/js/goldenlayout.min.js HTTP/1.1" 200 66602
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/moment_2.11.2/moment.min.js HTTP/1.1" 200 40737
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/highlight_9.12.0/highlight.pack.js HTTP/1.1" 200 8200
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/js/custom.js HTTP/1.1" 200 6992
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/clipboard/clipboard.min.js HTTP/1.1" 200 10917
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/rpIFrame.jsp HTTP/1.1" 200 2588
127.0.0.1 - - [12/Jun/2020:11:58:27 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 62472
127.0.0.1 - - [12/Jun/2020:11:58:28 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css.map HTTP/1.1" 404 765
127.0.0.1 - - [12/Jun/2020:12:00:04 -0300] "GET /pickup-manager/ HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:00:04 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 200 30227
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/css/spinner.css HTTP/1.1" 200 1464
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css HTTP/1.1" 200 4657
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/highlight_9.12.0/styles/atelier-cave-light.css HTTP/1.1" 200 1299
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/moment_2.11.2/moment.min.js HTTP/1.1" 200 40737
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/goldenlayout/js/goldenlayout.min.js HTTP/1.1" 200 66602
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/highlight_9.12.0/highlight.pack.js HTTP/1.1" 200 8200
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/js/custom.js HTTP/1.1" 200 6992
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/clipboard/clipboard.min.js HTTP/1.1" 200 10917
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 62472
127.0.0.1 - - [12/Jun/2020:12:00:05 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css.map HTTP/1.1" 404 765
127.0.0.1 - - [12/Jun/2020:12:00:06 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:12:00:06 -0300] "GET /pickup-manager/rpIFrame.jsp HTTP/1.1" 200 2588
127.0.0.1 - - [12/Jun/2020:12:00:10 -0300] "GET /pickup-manager/oauth2client?sp=pickup-manager&tenantDomain=carbon.super HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:00:10 -0300] "GET /pickup-manager/index.jsp HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:12:00:10 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:12:00:10 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:12:00:10 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:12:00:10 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:12:00:10 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:12:00:11 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:12:00:11 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:12:00:11 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:12:00:11 -0300] "GET /pickup-manager/img/manager.png HTTP/1.1" 200 48817
127.0.0.1 - - [12/Jun/2020:12:00:11 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:12:00:11 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:12:00:13 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/oauth2client?code=2e959755-716b-3630-95e2-6480986324ea&session_state=a4a0fc41bbf08eaaa6f41e0bed9d105074240fec2a366e634178b4a0f0e87428.yuMVSXkdFWKxWTcKCUNx4w HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 200 30227
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css HTTP/1.1" 200 4657
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/css/spinner.css HTTP/1.1" 200 1464
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/libs/highlight_9.12.0/styles/atelier-cave-light.css HTTP/1.1" 200 1299
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:12:00:22 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/moment_2.11.2/moment.min.js HTTP/1.1" 200 40737
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/goldenlayout/js/goldenlayout.min.js HTTP/1.1" 200 66602
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/highlight_9.12.0/highlight.pack.js HTTP/1.1" 200 8200
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/clipboard/clipboard.min.js HTTP/1.1" 200 10917
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/js/custom.js HTTP/1.1" 200 6992
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/rpIFrame.jsp HTTP/1.1" 200 2588
127.0.0.1 - - [12/Jun/2020:12:00:23 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 62472
127.0.0.1 - - [12/Jun/2020:12:00:24 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css.map HTTP/1.1" 404 765
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/oauth2client HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/index.jsp HTTP/1.1" 200 2851
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/img/manager.png HTTP/1.1" 200 48817
127.0.0.1 - - [12/Jun/2020:12:01:57 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:12:01:58 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:12:02:00 -0300] "POST /pickup-manager/oauth2-authorize-user.jsp?reset=true HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/oauth2client?code=f998d4a7-5006-3389-a79e-90fd4180a19c&session_state=a5f5529e189f56be1ac45d7593e1228da4f67ed58498b26d714e5f6679f18961.dWmr_jK23-1ELoJlacFD6w HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 200 30227
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css HTTP/1.1" 200 4657
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/highlight_9.12.0/styles/atelier-cave-light.css HTTP/1.1" 200 1299
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/css/spinner.css HTTP/1.1" 200 1464
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/moment_2.11.2/moment.min.js HTTP/1.1" 200 40737
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/goldenlayout/js/goldenlayout.min.js HTTP/1.1" 200 66602
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/highlight_9.12.0/highlight.pack.js HTTP/1.1" 200 8200
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/clipboard/clipboard.min.js HTTP/1.1" 200 10917
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/js/custom.js HTTP/1.1" 200 6992
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 62472
127.0.0.1 - - [12/Jun/2020:12:02:06 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css.map HTTP/1.1" 404 765
127.0.0.1 - - [12/Jun/2020:12:02:07 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:12:02:07 -0300] "GET /pickup-manager/rpIFrame.jsp HTTP/1.1" 200 2588
127.0.0.1 - - [12/Jun/2020:12:15:26 -0300] "GET /pickup-manager/oauth2client?code=750962aa-620e-3b05-b111-1b42562dc82d&session_state=31c02a0d23b5a145284ee3daa53565ee447ea812ab2a68d11549f8c0d37cc7bf.9T79QBH9_heQwYsvzRz8XQ HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:15:26 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 200 30227
127.0.0.1 - - [12/Jun/2020:12:15:27 -0300] "GET /pickup-manager/oauth2client?code=11edad8c-09a8-3645-97d5-073bf263c029&session_state=682ae362d04707e2ae0574e8ace0a8ea2750c07176041a0974742b5d5de8da81.GHVSmUggARdJy0N4hm095g HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:15:27 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 200 30227
127.0.0.1 - - [12/Jun/2020:12:15:33 -0300] "GET /pickup-manager/oauth2client?code=43031f7a-c2cc-3514-9bc3-c54cd0cc0a88&session_state=573e4d580415530d747dd64f623e6568fe3aa14df30a6c1981386ff6e7426fca.OW-Z_VutwnG2bDMzcqUROQ HTTP/1.1" 302 -
127.0.0.1 - - [12/Jun/2020:12:15:33 -0300] "GET /pickup-manager/home.jsp HTTP/1.1" 200 30227
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/css/bootstrap-material-design.min.css HTTP/1.1" 200 437760
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/fontawesome.min.css HTTP/1.1" 200 45557
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/css/solid.min.css HTTP/1.1" 200 644
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css HTTP/1.1" 200 4657
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/highlight_9.12.0/styles/atelier-cave-light.css HTTP/1.1" 200 1299
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/css/spinner.css HTTP/1.1" 200 1464
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/css/custom.css HTTP/1.1" 200 5317
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/css/manager.css HTTP/1.1" 200 1770
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/jquery_3.3.1/jquery.min.js HTTP/1.1" 200 95785
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js HTTP/1.1" 200 19188
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/bootstrap-material-design_4.0.0/js/bootstrap-material-design.min.js HTTP/1.1" 200 78373
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/moment_2.11.2/moment.min.js HTTP/1.1" 200 40737
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/goldenlayout/js/goldenlayout.min.js HTTP/1.1" 200 66602
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/highlight_9.12.0/highlight.pack.js HTTP/1.1" 200 8200
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/libs/clipboard/clipboard.min.js HTTP/1.1" 200 10917
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/js/custom.js HTTP/1.1" 200 6992
127.0.0.1 - - [12/Jun/2020:12:15:36 -0300] "GET /pickup-manager/img/wso2-dark.svg HTTP/1.1" 200 5196
127.0.0.1 - - [12/Jun/2020:12:15:37 -0300] "GET /pickup-manager/libs/popper_1.12.9/popper.min.js.map HTTP/1.1" 404 750
127.0.0.1 - - [12/Jun/2020:12:15:37 -0300] "GET /pickup-manager/rpIFrame.jsp HTTP/1.1" 200 2588
127.0.0.1 - - [12/Jun/2020:12:15:37 -0300] "GET /pickup-manager/libs/fontawesome-5.2.0/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 62472
127.0.0.1 - - [12/Jun/2020:12:15:37 -0300] "GET /pickup-manager/libs/goldenlayout/css/goldenlayout-base.css.map HTTP/1.1" 404 765
